sessionId;userId;taskType;duration;typedText;cognitiveLoadLevel;dualTaskType;dualTaskData;dualTaskAnswer;dualTaskCorrect;holdTime_mean;holdTime_std;holdTime_min;holdTime_max;flightTime_D1U2_mean;flightTime_D1U2_std;flightTime_D1U2_min;flightTime_D1U2_max;flightTime_D1D2_mean;flightTime_D1D2_std;flightTime_D1D2_min;flightTime_D1D2_max;flightTime_U1D2_mean;flightTime_U1D2_std;flightTime_U1D2_min;flightTime_U1D2_max;flightTime_U1U2_mean;flightTime_U1U2_std;flightTime_U1U2_min;flightTime_U1U2_max;pause_count;pause_mean;pause_std;pause_min;pause_max;backspaceCount;errorCorrections;correctionRate;totalKeystrokes;mentalDemand;physicalDemand;temporalDemand;performance;effort;frustration
testuser1_session_1764755882.580705;testuser1;fixed_text;54.521;The early bird cathes the worm, but the second mouse gets the cheese.;Low;none;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;0
testuser2_session_1764756603.46013;testuser2;fixed_text;51.8;Your typing can reveal insights about your emotional and cognitive state.;Low;none;;;;166.28571428571428;93.10305101126754;50;680;641.1315789473684;738.7425009345142;88;4678;481.60526315789474;752.044897857403;12;4619;313.9078947368421;763.6389539847587;-225;4552;473.4342105263158;750.3566579252814;-1;4611;12;1598.0833333333333;1283.1403832221772;528;4552;0;0;0;151;0;0;0;98;0;0
USER_1764764890837_406_session_1764757757.98064;USER_1764764890837_406;fixed_text;67.58;Your typing pattern can reveal insights about your emotional cognitive state.;Low;none;;;;173.65;92.95672380199294;44;762;727.2405063291139;577.4438920672897;234;3010;561.0379746835443;587.3789116913335;100;2913;386.1392405063291;612.7696354925738;-285;2731;552.3417721518987;601.0619481137342;-11;2828;21;1211.5238095238096;651.3093492962661;563;2731;1;1;0.00625;160;0;0;0;50;0;0
USER_1764765079711_515_session_1764757917.275326;USER_1764765079711_515;fixed_text;119.783;Emotion recognition throughh keystroke dynamics is an emerging field.;Medium;number_sequence;853613;853613;True;153.28571428571428;61.39151706340982;26;357;595.0434782608696;475.9756245976154;181;2609;442.5217391304348;486.22752498100033;10;2479;288.04347826086956;496.434137808939;-122;2349;440.5652173913044;486.68313883958416;17;2479;11;1241.4545454545455;600.2050200687282;588;2349;0;0;0;140;50;50;50;50;50;50
USER_1764765874903_604_session_1764758721.027966;USER_1764765874903_604;fixed_text;64.687;The early bird catches the worm, but the second mouse gets the cheese.;Low;none;;;;148.0120481927711;54.028884282101934;48;350;535.5853658536586;345.50358973178425;246;2048;389.4268292682927;354.44838732908687;98;1914;240.47560975609755;362.37594094510155;-174;1740;386.6341463414634;352.52688920778115;-16;1874;14;917.7857142857143;376.21368900655165;509;1740;6;6;0.03614457831325301;166;0;0;0;95;0;0
USER_1764765874903_604_session_1764758830.440143;USER_1764765874903_604;fixed_text;32.78;The quick brown fox jumps over the lazy dog;Medium;number_sequence;991328;991328;True;139.38636363636363;50.110430736474825;29;281;543.6046511627907;344.54811251671634;225;1713;405.1162790697674;354.2395201582802;95;1565;263.8837209302326;358.3174641066621;-70;1418;402.3720930232558;347.7578028653833;47;1566;9;862.5555555555555;323.37666758101534;533;1418;0;0;0;88;30;10;10;95;20;0
USER_1764765874903_604_session_1764758976.572153;USER_1764765874903_604;fixed_text;50.268;Emotion recognition through keystroke dynamics is an emerging field;High;logic_puzzle;How many letters are in the word 'KEYSTROKE'?;9;True;144.72857142857143;60.25017401956409;45;377;589.927536231884;503.91905603862347;191;3064;448.5652173913044;509.0376392865855;103;2810;303.2028985507246;521.5226753087192;-139;2732;444.5652173913044;517.4058614442214;-73;2986;14;1144.7142857142858;634.1914344345909;533;2732;1;1;0.007142857142857143;140;50;10;20;95;30;10
USER_1765469146731_325_session_1765462853.839382;USER_1765469146731_325;fixed_text;49.324;Practice makes perfect, but nobody's perfect, so why practice?;Low;none;;;;126.78571428571429;49.719755446227325;49;340;554.9710144927536;449.0258690141342;131;2026;431.27536231884056;456.20723374100754;18;1958;304.231884057971;467.6498797154765;-108;1831;427.92753623188406;460.94755333217176;5;1899;16;1081.125;348.4910104651195;553;1831;3;3;0.02142857142857143;140;10;10;30;80;10;10
USER_1765469146731_325_session_1765463016.661792;USER_1765469146731_325;fixed_text;50.572;Practice makes perfect, but nobody's perfect, so why practice?;Medium;number_sequence;499971;499971;True;144.16666666666666;59.007083122163046;54;432;533.3846153846154;362.38635108902935;168;2029;393.6461538461538;351.98493983382656;38;1835;249.30769230769232;366.817117421115;-118;1729;389.04615384615386;377.50176487694347;15;1923;11;922.9090909090909;385.8076427315595;532;1729;1;1;0.007575757575757576;132;50;50;50;50;50;50
USER_1765469146731_325_session_1765463119.60197;USER_1765469146731_325;fixed_text;55.215;The quick brown fox jumps over the lazy dog.;High;logic_puzzle;What is 15% of 200?;30;True;142.7111111111111;56.29431477994212;52;338;1350.9318181818182;5595.432022469624;214;37980;1212.659090909091;5609.403593897977;100;37928;1067.8863636363637;5621.8659398973305;-140;37865;1206.159090909091;5607.937957376222;-23;37917;9;4953.666666666667;11640.653857160354;516;37865;0;0;0;90;50;50;50;50;50;50
